" 1D",2D,3D,4D,5D,">5D",Cliente,TTs
63,67,67,24,86,84,"PREVILAB ANALISES CLINICAS LTDA",43
54,84,41,73,54,48,"PRIME INFORMATICA ALPHA LTDA",71
33,24,24,40,92,13,"PRIMESYS  S.A",62
34,77,78,43,90,99,"PRIMESYS - INTERNET SEGURA - PAI",78
44,42,42,74,39,20,"PRIMESYS SOLUÇÕES EMPRESARIAIS S/A",13
16,96,48,33,76,94,"PRINT LASER CARTOES E SISTEMAS DIGITAIS LTDA.",87
93,42,74,17,71,30,"PROAIR SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA",14
96,24,81,58,28,66,"PROCOLOR PRODUTOS E SERVICOS DIGITAIS EIRELI",78
22,41,16,55,94,78,"PROGRESSIVA - ASSOCIACAO DE PROTECAO E ASSISTENCIA VEICULAR",85
10,94,56,69,89,98,"PROTEGE S/A PROTECAO E TRANSPORTE DE VALORES",73
85,82,48,96,47,60,"PROVIG - FORMACAO DE PROFISSIONAIS DE SEGURANCA LTDA",99
78,75,25,65,78,38,"PROXXI TECNOLOGIA LTDA.",84
40,43,57,13,91,85,"PUR EQUIPAMENTOS INDUSTRIAIS LTDA",17
99,54,16,80,32,35,"RADIO E TELEVISAO MODELO PAULISTA LTDA",30
25,13,40,60,51,55,RCCF,93
95,85,80,78,21,14,"REAL JURIDICA ASSESSORIA EM RECUPERACAO DE CREDITO LTDA",23
76,75,83,46,42,46,"REALIZE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",57
69,78,74,58,92,51,"REDE CHECK EX COMERCIO E SERVICOS LTDA",69
96,83,16,51,13,94,"REGIONAL TELHAS INDUSTRIA E COMERCIO DE PRODUTOS SIDERURGICOS LTDA",35
10,44,93,54,71,84,"REVAL SERRAS E FERRAMENTAS PARA MADEIRA LTDA",50
73,81,77,80,23,21,"REVISE COMERCIO EIRELI",87
78,13,27,42,94,90,"RI HAPPY BRINQUEDOS S A",99
81,71,69,42,87,51,"RIOPEL INDUSTRIA E COMERCIO DE APARAS DE PAPEL LTDA",59
91,57,57,12,98,18,"RODAO AUTO PECAS LTDA",96
92,34,45,33,42,16,"RODRIGO MUDROVITSCH ADVOGADOS",92
56,51,51,44,58,88,"RONDELI & RONDELLI LTDA",51
63,17,24,76,42,37,"RPC REDE PONTO CERTO TECNOLOGIA E SERVICOS LTDA",60
25,31,25,81,25,48,"RPL ROLAMENTOS PAULISTA LTDA",39
75,49,54,77,78,80,"RUMO MALHA PAULISTA S A",47
65,94,54,80,63,11,"SABION DIGITAL BRAND E DESIGN LTDA",33
48,76,42,22,42,69,"SADA COMBUSTIVEIS LTDA",78
77,52,93,40,81,65,"SADESUL PROJETOS E CONSTRUCOES LTDA",50
56,65,96,55,60,24,"SAFETLINE EQUIPAMENTOS DE SEGURANCA LTDA",43
60,15,80,84,37,27,"SAO LUIS ADMINISTRADORA DE SHOPPING CENTER LTDA",22
89,20,35,55,44,43,"SAVANA COMERCIO DE VEICULOS LTDA",65
28,96,71,42,96,69,"SCHENCK PROCESS EQUIPAMENTOS INDUSTRIAIS LTDA",23
94,17,31,51,50,46,"SCOTIABANK BRASIL S.A. BANCO MULTIPLO",26
76,13,78,33,20,60,"SERIMAX DO BRASIL SERVICOS DE SOLDAGEM E FABRICACAO LTDA",30
23,14,10,98,45,96,"SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO)",75
29,68,60,92,41,97,"SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL-SENAI",21
96,97,84,94,82,53,"SHOPPING MORUMBI",60
19,27,41,33,42,27,"SIGMA PRODUTOS ALIMENTICIOS LTDA",16
13,51,32,83,40,24,"SINQIA S.A",47
15,60,57,91,18,21,"SIS CONSULTORIA DE INFORMATICA LTDA",87
51,82,55,41,22,51,"SK RENTAL LOCACAO DE EQUIPAMENTOS LTDA",81
50,78,84,83,31,78,"SOCIEDADE BRASILEIRA DE COACHING LTDA",91
67,28,66,50,15,42,"SOCIEDADE INSTRUCAO E SOCORROS SIS",32
69,87,33,74,69,72,"SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO LTDA",71
96,96,38,53,53,78,"SOCOPA SOCIEDADE CORRETORA PAULISTA S A",15
62,29,86,69,60,39,"SOFTWARE EXPRESS INFORMATICA LTDA - R3C - REDE DE COMUNICAÇÕES DA COMUNIDADE CIELO",52
55,70,47,15,87,78,"SOL COMERCIO E SERVICOS DE INFORMATICA LTDA",51
56,52,88,80,33,75,"SOROCRED - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A",47
71,81,91,66,40,42,"SPAL INDUSTRIA BRASILEIRA DE BEBIDAS S/A.",25
28,78,51,88,46,10,"SPAL INDÚSTRIA BRASILEIRA DE BEBIDAS S/A",16
21,63,33,32,96,62,"SPAL INDÚSTRIA BRASILEIRA DE BEBIDAS S/A.",96
96,68,97,96,94,95,"SPB BANCO RODOBENS S/A",96
96,98,59,67,80,25,"STONE PAGAMENTOS S A",74
78,92,18,72,51,87,"STONE PAGAMENTOS S/A",13
39,31,73,95,61,42,"SUB CONDOMINIO SHOPPINHG CENTER BARRASHOPPING SUL",25
97,83,26,34,86,91,"SUBCONDOMINIO SHOPPING CENTER JUNDIAI SHOPPING",51
42,31,77,42,33,56,"SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS S.A.",66
68,27,93,52,54,42,"SUPERGASBRAS ENERGIA LTDA",33
73,82,74,11,30,94,"SUPPLY SERVICOS GERAIS LTDA",38
37,74,59,96,55,40,"SURF TELECOM S/A",63
49,38,14,93,13,11,"Sada Bio Energia e Agricultura Ltda",15
96,16,25,57,98,83,"Sada Transportes e Armazenagens S/A",94
65,77,54,19,79,95,"Sempre Editora Ltda",54
96,67,60,36,11,59,"TAM LINHAS AEREAS S/A.",60
12,83,34,51,11,15,"TARGET SERVIÇOS EDUCACIONAIS LTDA",23
28,15,92,34,59,65,"TCP TERMINAL DE CONTEINERES DE PARANAGUA S A",14
56,34,81,21,87,21,"TDS INFORMATICA S/A",44
33,36,24,39,71,38,"TECPLAM INDUSTRIA ELETRONICA LTDA",80
30,12,32,84,31,95,"TEDESCO S A EMPREENDIMENTOS E SERVICOS",85
20,10,48,54,47,67,"TEIXEIRA DUARTE ENGENHARIA E CONSTRUCOES S A",52
52,24,80,18,37,26,"TEK SYSTEM INFORMATICA LTDA ME",32
70,31,95,51,43,61,"TEL CENTRO DE CONTATOS LTDA",94
14,45,82,86,78,20,TELMEX,10
40,22,16,63,10,33,"TELMEX DO BRASIL S/A",66
16,11,78,31,45,85,"TERCEIRA IGREJA BATISTA DE BRASILIA",49
34,52,60,15,58,89,"TIGRE MATERIAIS E SOLUCOES PARA CONSTRUCAO LTDA",77
69,74,82,77,37,70,"TMKT SERVICOS DE MARKETING LTDA",55
38,20,97,95,41,20,"TOKEN SERVICES PARTICIPAÇÕES LTDA",59
23,51,76,21,41,33,"TRANSDATA INDUSTRIA E SERVICOS DE AUTOMACAO LTDA",24
28,23,38,83,67,79,"TRANSTERRA TERRAPLENAGEM E PAVIMENTACAO LTDA",95
47,37,57,61,33,97,"TROPICAL FOOD MACHINERY LTDA",37
71,24,95,15,20,49,"TROX DO BRASIL DIFUSAO DE AR ACUST FILTRAGEM VENT LTDA",69
76,64,15,65,43,12,"TRUCKS CONTROL SERVICOS DE LOGISTICA LTDA",41
83,25,19,84,83,59,"TV SERRA DOURADA LTDA",56
74,94,45,63,71,94,"Transzero Transportadora de Veiculos  Ltda",68
30,60,41,19,36,52,"UBS BRASIL CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.",98
46,27,19,93,38,90,"UCAYALI HOTEIS E TURISMO LTDA EPP",78
17,65,99,52,15,36,"UNICRED NORTE DO PARANA - COOP DE ECONOMIA E CREDITO MUTUO DOS MEDICOS, PROFISSIONAIS DA AREA DE SAU",59
35,46,11,33,83,72,"UNIMED ARAXA COOP DE TRABALHO MEDICO LTDA",51
20,61,23,93,24,60,"UNIMED INTRAFEDERATIVA FEDERACAO REGIONAL SUL DE MINA",87
92,46,41,32,16,68,"UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MEDICO",95
76,96,69,33,87,85,"UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA",67
69,98,98,92,31,49,"UNIRB UNIDADES DE ENSINO SUPERIOR DA BAHIA LTDA",76
16,28,65,72,32,24,"UP BRASIL ADMINISTRACAO E SERVICOS LTDA.",21
75,52,72,79,75,22,"USINAS SIDERURGICAS DE MINAS GERAIS S A - USIMINAS",93
95,15,90,96,42,78,"VALLOUREC TUBULAR SOLUTIONS LTDA",42
23,19,14,96,65,82,"VD COMERCIO DE VEICULOS LTDA",85
94,86,27,30,70,15,"VETTEC PRODUTOS AGROPECUARIOS S A",78
33,29,61,20,46,99,"VIA CERTA FINANCIADORA S A CREDITO FINANCIAMENTO E INVE",67
13,17,44,98,77,61,"VIACAO AGUIA BRANCA S A",21
94,98,22,84,81,33,"VIALOC TRANSPORTE DE PASSAGEIROS EIRELI",93
89,21,42,18,24,72,"VIDRACARIA GUAPORE LTDA",74
97,91,52,84,25,30,"WIRELESS NETWORKS DO BRASIL LTDA",50
74,11,55,94,65,54,"WMB SUPERMERCADOS DO BRASIL LTDA",59
76,75,95,71,32,34,"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S/A",49
57,41,43,13,12,69,"ZEMA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A.",28
